observation_date,source,series_id,maturity,rate_bps
2021-07-30,UST,DGS5,5Y,69
2021-08-02,NYFED,EFFR,ON,10
2021-08-02,NYFED,SOFR,ON,5
2021-08-02,UST,DGS2,2Y,17
2021-08-02,UST,DGS5,5Y,66
2021-08-03,NYFED,EFFR,ON,10
2021-08-03,NYFED,SOFR,ON,5
2021-08-03,UST,DGS2,2Y,17
2021-08-03,UST,DGS5,5Y,65
2021-08-04,NYFED,EFFR,ON,10
2021-08-04,NYFED,SOFR,ON,5
2021-08-04,UST,DGS2,2Y,17
2021-08-04,UST,DGS5,5Y,67
2021-08-05,NYFED,EFFR,ON,10
2021-08-05,NYFED,SOFR,ON,5
2021-08-05,UST,DGS2,2Y,21
2021-08-05,UST,DGS5,5Y,72
2021-08-06,NYFED,EFFR,ON,10
2021-08-06,NYFED,SOFR,ON,5
2021-08-06,UST,DGS2,2Y,21
2021-08-06,UST,DGS5,5Y,77
2021-08-09,NYFED,EFFR,ON,10
2021-08-09,NYFED,SOFR,ON,5
2021-08-09,UST,DGS2,2Y,23
2021-08-09,UST,DGS5,5Y,79
2021-08-10,NYFED,EFFR,ON,10
2021-08-10,NYFED,SOFR,ON,5
2021-08-10,UST,DGS2,2Y,24
2021-08-10,UST,DGS5,5Y,82
2021-08-11,NYFED,EFFR,ON,10
2021-08-11,NYFED,SOFR,ON,5
2021-08-11,UST,DGS2,2Y,23
2021-08-11,UST,DGS5,5Y,81
2021-08-12,NYFED,EFFR,ON,10
2021-08-12,NYFED,SOFR,ON,5
2021-08-12,UST,DGS2,2Y,23
2021-08-12,UST,DGS5,5Y,83
2021-08-13,NYFED,EFFR,ON,10
2021-08-13,NYFED,SOFR,ON,5
2021-08-13,UST,DGS2,2Y,23
2021-08-13,UST,DGS5,5Y,79
2021-08-16,NYFED,EFFR,ON,10
2021-08-16,NYFED,SOFR,ON,5
2021-08-16,UST,DGS2,2Y,21
2021-08-16,UST,DGS5,5Y,75
2021-08-17,NYFED,EFFR,ON,10
2021-08-17,NYFED,SOFR,ON,5
2021-08-17,UST,DGS2,2Y,23
2021-08-17,UST,DGS5,5Y,77
2021-08-18,NYFED,EFFR,ON,9
2021-08-18,NYFED,SOFR,ON,5
2021-08-18,UST,DGS2,2Y,23
2021-08-18,UST,DGS5,5Y,79
2021-08-19,NYFED,EFFR,ON,9
2021-08-19,NYFED,SOFR,ON,5
2021-08-19,UST,DGS2,2Y,22
2021-08-19,UST,DGS5,5Y,78
2021-08-20,NYFED,EFFR,ON,9
2021-08-20,NYFED,SOFR,ON,5
2021-08-20,UST,DGS2,2Y,23
2021-08-20,UST,DGS5,5Y,80
2021-08-23,NYFED,EFFR,ON,9
2021-08-23,NYFED,SOFR,ON,5
2021-08-23,UST,DGS2,2Y,23
2021-08-23,UST,DGS5,5Y,78
