observation_date,instrument_id,dv01_usd_per_bp,rate_sensitivity_sign,dv01_method
2021-03-17,ERIS-YIW-202012,46.8,-1,eris_settlement_dv01
2021-03-17,YAHOO-CONTINUOUS-ZF,46.8,-1,cme_fixed_ics_ratio_proxy
2021-03-17,YAHOO-CONTINUOUS-ZT,40.28,-1,cme_fixed_ics_ratio_proxy
2021-03-18,ERIS-YIT-202109,20.12,-1,eris_settlement_dv01
2021-03-18,ERIS-YIW-202012,46.64,-1,eris_settlement_dv01
2021-03-18,YAHOO-CONTINUOUS-ZF,46.64,-1,cme_fixed_ics_ratio_proxy
2021-03-18,YAHOO-CONTINUOUS-ZT,40.24,-1,cme_fixed_ics_ratio_proxy
2021-03-19,ERIS-YIT-202109,20.13,-1,eris_settlement_dv01
2021-03-19,ERIS-YIW-202012,46.55,-1,eris_settlement_dv01
2021-03-19,YAHOO-CONTINUOUS-ZF,46.55,-1,cme_fixed_ics_ratio_proxy
2021-03-19,YAHOO-CONTINUOUS-ZT,40.26,-1,cme_fixed_ics_ratio_proxy
2021-03-22,ERIS-YIT-202109,20.13,-1,eris_settlement_dv01
2021-03-22,ERIS-YIW-202012,46.52,-1,eris_settlement_dv01
2021-03-22,YAHOO-CONTINUOUS-ZF,46.52,-1,cme_fixed_ics_ratio_proxy
2021-03-22,YAHOO-CONTINUOUS-ZT,40.26,-1,cme_fixed_ics_ratio_proxy
2021-03-23,ERIS-YIT-202109,20.13,-1,eris_settlement_dv01
2021-03-23,ERIS-YIW-202012,46.56,-1,eris_settlement_dv01
2021-03-23,YAHOO-CONTINUOUS-ZF,46.56,-1,cme_fixed_ics_ratio_proxy
2021-03-23,YAHOO-CONTINUOUS-ZT,40.26,-1,cme_fixed_ics_ratio_proxy
2021-03-24,ERIS-YIT-202109,20.14,-1,eris_settlement_dv01
2021-03-24,ERIS-YIW-202012,46.57,-1,eris_settlement_dv01
2021-03-24,YAHOO-CONTINUOUS-ZF,46.57,-1,cme_fixed_ics_ratio_proxy
2021-03-24,YAHOO-CONTINUOUS-ZT,40.28,-1,cme_fixed_ics_ratio_proxy
2021-03-25,ERIS-YIT-202109,20.15,-1,eris_settlement_dv01
2021-03-25,ERIS-YIW-202012,46.55,-1,eris_settlement_dv01
2021-03-25,YAHOO-CONTINUOUS-ZF,46.55,-1,cme_fixed_ics_ratio_proxy
