observation_date,instrument_id,dv01_usd_per_bp,rate_sensitivity_sign,dv01_method
2023-07-06,YAHOO-CONTINUOUS-ZF,44.1803258179,-1,cme_fixed_ics_ratio_proxy
2023-07-06,YAHOO-CONTINUOUS-ZT,37.3768975696,-1,cme_fixed_ics_ratio_proxy
2023-07-07,ERIS-YIT-202309,18.7236990014,-1,eris_settlement_dv01
2023-07-07,ERIS-YIW-202309,44.2383834863,-1,eris_settlement_dv01
2023-07-07,YAHOO-CONTINUOUS-ZF,44.2383834863,-1,cme_fixed_ics_ratio_proxy
2023-07-07,YAHOO-CONTINUOUS-ZT,37.4473980028,-1,cme_fixed_ics_ratio_proxy
2023-07-10,ERIS-YIT-202309,18.7797845942,-1,eris_settlement_dv01
2023-07-10,ERIS-YIW-202309,44.5063453879,-1,eris_settlement_dv01
2023-07-10,YAHOO-CONTINUOUS-ZF,44.5063453879,-1,cme_fixed_ics_ratio_proxy
2023-07-10,YAHOO-CONTINUOUS-ZT,37.5595691884,-1,cme_fixed_ics_ratio_proxy
2023-07-11,ERIS-YIT-202309,18.7677751257,-1,eris_settlement_dv01
2023-07-11,ERIS-YIW-202309,44.5559353635,-1,eris_settlement_dv01
2023-07-11,YAHOO-CONTINUOUS-ZF,44.5559353635,-1,cme_fixed_ics_ratio_proxy
2023-07-11,YAHOO-CONTINUOUS-ZT,37.5355502514,-1,cme_fixed_ics_ratio_proxy
2023-07-12,ERIS-YIT-202309,18.8678021492,-1,eris_settlement_dv01
2023-07-12,ERIS-YIW-202309,45.0054532779,-1,eris_settlement_dv01
2023-07-12,YAHOO-CONTINUOUS-ZF,45.0054532779,-1,cme_fixed_ics_ratio_proxy
2023-07-12,YAHOO-CONTINUOUS-ZT,37.7356042984,-1,cme_fixed_ics_ratio_proxy
2023-07-13,ERIS-YIT-202309,18.9641352057,-1,eris_settlement_dv01
2023-07-13,ERIS-YIW-202309,45.365859049,-1,eris_settlement_dv01
2023-07-13,YAHOO-CONTINUOUS-ZF,45.365859049,-1,cme_fixed_ics_ratio_proxy
2023-07-13,YAHOO-CONTINUOUS-ZT,37.9282704114,-1,cme_fixed_ics_ratio_proxy
2023-07-14,ERIS-YIT-202309,18.8799511423,-1,eris_settlement_dv01
2023-07-14,ERIS-YIW-202309,45.0984885524,-1,eris_settlement_dv01
2023-07-14,YAHOO-CONTINUOUS-ZF,45.0984885524,-1,cme_fixed_ics_ratio_proxy
2023-07-14,YAHOO-CONTINUOUS-ZT,37.7599022846,-1,cme_fixed_ics_ratio_proxy
2023-07-17,ERIS-YIT-202309,18.8995564009,-1,eris_settlement_dv01
2023-07-17,ERIS-YIW-202309,45.2088766984,-1,eris_settlement_dv01
2023-07-17,YAHOO-CONTINUOUS-ZF,45.2088766984,-1,cme_fixed_ics_ratio_proxy
2023-07-17,YAHOO-CONTINUOUS-ZT,37.7991128018,-1,cme_fixed_ics_ratio_proxy
2023-07-18,ERIS-YIT-202309,18.8922142402,-1,eris_settlement_dv01
2023-07-18,ERIS-YIW-202309,45.2309365135,-1,eris_settlement_dv01
2023-07-18,YAHOO-CONTINUOUS-ZF,45.2309365135,-1,cme_fixed_ics_ratio_proxy
2023-07-18,YAHOO-CONTINUOUS-ZT,37.7844284804,-1,cme_fixed_ics_ratio_proxy
2023-07-19,ERIS-YIT-202309,18.8941123897,-1,eris_settlement_dv01
2023-07-19,ERIS-YIW-202309,45.3003133746,-1,eris_settlement_dv01
2023-07-19,YAHOO-CONTINUOUS-ZF,45.3003133746,-1,cme_fixed_ics_ratio_proxy
2023-07-19,YAHOO-CONTINUOUS-ZT,37.7882247794,-1,cme_fixed_ics_ratio_proxy
2023-07-20,ERIS-YIT-202309,18.8409384963,-1,eris_settlement_dv01
2023-07-20,ERIS-YIW-202309,44.9478876651,-1,eris_settlement_dv01
2023-07-20,YAHOO-CONTINUOUS-ZF,44.9478876651,-1,cme_fixed_ics_ratio_proxy
2023-07-20,YAHOO-CONTINUOUS-ZT,37.6818769926,-1,cme_fixed_ics_ratio_proxy
2023-07-21,ERIS-YIT-202309,18.8352890577,-1,eris_settlement_dv01
2023-07-21,ERIS-YIW-202309,44.9522187645,-1,eris_settlement_dv01
2023-07-21,YAHOO-CONTINUOUS-ZF,44.9522187645,-1,cme_fixed_ics_ratio_proxy
2023-07-21,YAHOO-CONTINUOUS-ZT,37.6705781154,-1,cme_fixed_ics_ratio_proxy
2023-07-24,ERIS-YIT-202309,18.8150605252,-1,eris_settlement_dv01
2023-07-24,ERIS-YIW-202309,44.8688891468,-1,eris_settlement_dv01
2023-07-24,YAHOO-CONTINUOUS-ZF,44.8688891468,-1,cme_fixed_ics_ratio_proxy
2023-07-24,YAHOO-CONTINUOUS-ZT,37.6301210504,-1,cme_fixed_ics_ratio_proxy
2023-07-25,ERIS-YIT-202309,18.7902727717,-1,eris_settlement_dv01
2023-07-25,ERIS-YIW-202309,44.701228,-1,eris_settlement_dv01
2023-07-25,YAHOO-CONTINUOUS-ZF,44.701228,-1,cme_fixed_ics_ratio_proxy
2023-07-25,YAHOO-CONTINUOUS-ZT,37.5805455434,-1,cme_fixed_ics_ratio_proxy
2023-07-26,ERIS-YIT-202309,18.8326091406,-1,eris_settlement_dv01
2023-07-26,ERIS-YIW-202309,44.9461494552,-1,eris_settlement_dv01
2023-07-26,YAHOO-CONTINUOUS-ZF,44.9461494552,-1,cme_fixed_ics_ratio_proxy
2023-07-26,YAHOO-CONTINUOUS-ZT,37.6652182812,-1,cme_fixed_ics_ratio_proxy
2023-07-27,ERIS-YIT-202309,18.7605476194,-1,eris_settlement_dv01
2023-07-27,ERIS-YIW-202309,44.5225660519,-1,eris_settlement_dv01
2023-07-27,YAHOO-CONTINUOUS-ZF,44.5225660519,-1,cme_fixed_ics_ratio_proxy
2023-07-27,YAHOO-CONTINUOUS-ZT,37.5210952388,-1,cme_fixed_ics_ratio_proxy
2023-07-28,ERIS-YIT-202309,18.7866383996,-1,eris_settlement_dv01
2023-07-28,ERIS-YIW-202309,44.6646074635,-1,eris_settlement_dv01
2023-07-28,YAHOO-CONTINUOUS-ZF,44.6646074635,-1,cme_fixed_ics_ratio_proxy
2023-07-28,YAHOO-CONTINUOUS-ZT,37.5732767992,-1,cme_fixed_ics_ratio_proxy
2023-07-31,ERIS-YIT-202309,18.8108153213,-1,eris_settlement_dv01
2023-07-31,ERIS-YIW-202309,44.7402590006,-1,eris_settlement_dv01
2023-07-31,YAHOO-CONTINUOUS-ZF,44.7402590006,-1,cme_fixed_ics_ratio_proxy
2023-07-31,YAHOO-CONTINUOUS-ZT,37.6216306426,-1,cme_fixed_ics_ratio_proxy
2023-08-01,ERIS-YIT-202309,18.7931406398,-1,eris_settlement_dv01
2023-08-01,ERIS-YIW-202309,44.5699976007,-1,eris_settlement_dv01
2023-08-01,YAHOO-CONTINUOUS-ZF,44.5699976007,-1,cme_fixed_ics_ratio_proxy
2023-08-01,YAHOO-CONTINUOUS-ZT,37.5862812796,-1,cme_fixed_ics_ratio_proxy
2023-08-02,ERIS-YIT-202309,18.8252100196,-1,eris_settlement_dv01
2023-08-02,ERIS-YIW-202309,44.6220662354,-1,eris_settlement_dv01
2023-08-02,YAHOO-CONTINUOUS-ZF,44.6220662354,-1,cme_fixed_ics_ratio_proxy
2023-08-02,YAHOO-CONTINUOUS-ZT,37.6504200392,-1,cme_fixed_ics_ratio_proxy
2023-08-03,ERIS-YIT-202309,18.8163114454,-1,eris_settlement_dv01
2023-08-03,ERIS-YIW-202309,44.4337259825,-1,eris_settlement_dv01
2023-08-03,YAHOO-CONTINUOUS-ZF,44.4337259825,-1,cme_fixed_ics_ratio_proxy
2023-08-03,YAHOO-CONTINUOUS-ZT,37.6326228908,-1,cme_fixed_ics_ratio_proxy
2023-08-04,ERIS-YIT-202309,18.8745959493,-1,eris_settlement_dv01
2023-08-04,ERIS-YIW-202309,44.7842061593,-1,eris_settlement_dv01
2023-08-04,YAHOO-CONTINUOUS-ZF,44.7842061593,-1,cme_fixed_ics_ratio_proxy
2023-08-04,YAHOO-CONTINUOUS-ZT,37.7491918986,-1,cme_fixed_ics_ratio_proxy
2023-08-07,ERIS-YIT-202309,18.900860658,-1,eris_settlement_dv01
2023-08-07,ERIS-YIW-202309,44.856659795,-1,eris_settlement_dv01
2023-08-07,YAHOO-CONTINUOUS-ZF,44.856659795,-1,cme_fixed_ics_ratio_proxy
2023-08-07,YAHOO-CONTINUOUS-ZT,37.801721316,-1,cme_fixed_ics_ratio_proxy
2023-08-08,ERIS-YIT-202309,18.907103088,-1,eris_settlement_dv01
2023-08-08,ERIS-YIW-202309,44.9642224243,-1,eris_settlement_dv01
2023-08-08,YAHOO-CONTINUOUS-ZF,44.9642224243,-1,cme_fixed_ics_ratio_proxy
2023-08-08,YAHOO-CONTINUOUS-ZT,37.814206176,-1,cme_fixed_ics_ratio_proxy
2023-08-09,ERIS-YIT-202309,18.8895292938,-1,eris_settlement_dv01
2023-08-09,ERIS-YIW-202309,44.9161487679,-1,eris_settlement_dv01
2023-08-09,YAHOO-CONTINUOUS-ZF,44.9161487679,-1,cme_fixed_ics_ratio_proxy
2023-08-09,YAHOO-CONTINUOUS-ZT,37.7790585876,-1,cme_fixed_ics_ratio_proxy
2023-08-10,ERIS-YIT-202309,18.8757138596,-1,eris_settlement_dv01
2023-08-10,ERIS-YIW-202309,44.734327263,-1,eris_settlement_dv01
2023-08-10,YAHOO-CONTINUOUS-ZF,44.734327263,-1,cme_fixed_ics_ratio_proxy
2023-08-10,YAHOO-CONTINUOUS-ZT,37.7514277192,-1,cme_fixed_ics_ratio_proxy
2023-08-11,ERIS-YIT-202309,18.8313636573,-1,eris_settlement_dv01
2023-08-11,ERIS-YIW-202309,44.4631568979,-1,eris_settlement_dv01
2023-08-11,YAHOO-CONTINUOUS-ZF,44.4631568979,-1,cme_fixed_ics_ratio_proxy
2023-08-11,YAHOO-CONTINUOUS-ZT,37.6627273146,-1,cme_fixed_ics_ratio_proxy
2023-08-14,ERIS-YIT-202309,18.8017385817,-1,eris_settlement_dv01
2023-08-14,ERIS-YIW-202309,44.3746023834,-1,eris_settlement_dv01
2023-08-14,YAHOO-CONTINUOUS-ZF,44.3746023834,-1,cme_fixed_ics_ratio_proxy
2023-08-14,YAHOO-CONTINUOUS-ZT,37.6034771634,-1,cme_fixed_ics_ratio_proxy
2023-08-15,ERIS-YIT-202309,18.8065790935,-1,eris_settlement_dv01
2023-08-15,ERIS-YIW-202309,44.2929387276,-1,eris_settlement_dv01
2023-08-15,YAHOO-CONTINUOUS-ZF,44.2929387276,-1,cme_fixed_ics_ratio_proxy
2023-08-15,YAHOO-CONTINUOUS-ZT,37.613158187,-1,cme_fixed_ics_ratio_proxy
2023-08-16,ERIS-YIT-202309,18.7932829805,-1,eris_settlement_dv01
2023-08-16,ERIS-YIW-202309,44.2182334122,-1,eris_settlement_dv01
2023-08-16,YAHOO-CONTINUOUS-ZF,44.2182334122,-1,cme_fixed_ics_ratio_proxy
2023-08-16,YAHOO-CONTINUOUS-ZT,37.586565961,-1,cme_fixed_ics_ratio_proxy
2023-08-17,ERIS-YIT-202309,18.7992482843,-1,eris_settlement_dv01
2023-08-17,ERIS-YIW-202309,44.1132619819,-1,eris_settlement_dv01
2023-08-17,YAHOO-CONTINUOUS-ZF,44.1132619819,-1,cme_fixed_ics_ratio_proxy
2023-08-17,YAHOO-CONTINUOUS-ZT,37.5984965686,-1,cme_fixed_ics_ratio_proxy
2023-08-18,ERIS-YIT-202309,18.8185876881,-1,eris_settlement_dv01
2023-08-18,ERIS-YIW-202309,44.2603637863,-1,eris_settlement_dv01
2023-08-18,YAHOO-CONTINUOUS-ZF,44.2603637863,-1,cme_fixed_ics_ratio_proxy
2023-08-18,YAHOO-CONTINUOUS-ZT,37.6371753762,-1,cme_fixed_ics_ratio_proxy
