observation_date,source,series_id,maturity,rate_bps
2019-05-02,UST,DGS5,5Y,234
2019-05-03,NYFED,EFFR,ON,240
2019-05-03,NYFED,SOFR,ON,243
2019-05-03,UST,DGS2,2Y,233
2019-05-03,UST,DGS5,5Y,233
2019-05-06,NYFED,EFFR,ON,240
2019-05-06,NYFED,SOFR,ON,242
2019-05-06,UST,DGS2,2Y,231
2019-05-06,UST,DGS5,5Y,230
2019-05-07,NYFED,EFFR,ON,240
2019-05-07,NYFED,SOFR,ON,244
2019-05-07,UST,DGS2,2Y,228
2019-05-07,UST,DGS5,5Y,225
2019-05-08,NYFED,EFFR,ON,239
2019-05-08,NYFED,SOFR,ON,243
2019-05-08,UST,DGS2,2Y,230
2019-05-08,UST,DGS5,5Y,228
2019-05-09,NYFED,EFFR,ON,238
2019-05-09,NYFED,SOFR,ON,241
2019-05-09,UST,DGS2,2Y,226
2019-05-09,UST,DGS5,5Y,225
2019-05-10,NYFED,EFFR,ON,238
2019-05-10,NYFED,SOFR,ON,240
2019-05-10,UST,DGS2,2Y,226
2019-05-10,UST,DGS5,5Y,226
2019-05-13,NYFED,EFFR,ON,238
2019-05-13,NYFED,SOFR,ON,238
2019-05-13,UST,DGS2,2Y,218
2019-05-13,UST,DGS5,5Y,218
2019-05-14,NYFED,EFFR,ON,238
2019-05-14,NYFED,SOFR,ON,239
2019-05-14,UST,DGS2,2Y,220
2019-05-14,UST,DGS5,5Y,220
2019-05-15,NYFED,EFFR,ON,240
2019-05-15,NYFED,SOFR,ON,248
2019-05-15,UST,DGS2,2Y,216
2019-05-15,UST,DGS5,5Y,215
2019-05-16,NYFED,EFFR,ON,239
2019-05-16,NYFED,SOFR,ON,243
2019-05-16,UST,DGS2,2Y,220
2019-05-16,UST,DGS5,5Y,218
2019-05-17,NYFED,EFFR,ON,239
2019-05-17,NYFED,SOFR,ON,242
2019-05-17,UST,DGS2,2Y,220
2019-05-17,UST,DGS5,5Y,217
2019-05-20,NYFED,EFFR,ON,239
2019-05-20,NYFED,SOFR,ON,239
2019-05-20,UST,DGS2,2Y,221
2019-05-20,UST,DGS5,5Y,221
2019-05-21,NYFED,EFFR,ON,239
2019-05-21,NYFED,SOFR,ON,238
2019-05-21,UST,DGS2,2Y,226
2019-05-21,UST,DGS5,5Y,223
2019-05-22,NYFED,EFFR,ON,238
2019-05-22,NYFED,SOFR,ON,237
2019-05-22,UST,DGS2,2Y,223
2019-05-22,UST,DGS5,5Y,219
2019-05-23,NYFED,EFFR,ON,238
2019-05-23,NYFED,SOFR,ON,237
2019-05-23,UST,DGS2,2Y,212
2019-05-23,UST,DGS5,5Y,211
2019-05-24,NYFED,EFFR,ON,238
2019-05-24,NYFED,SOFR,ON,237
2019-05-24,UST,DGS2,2Y,216
2019-05-24,UST,DGS5,5Y,212
2019-05-28,NYFED,EFFR,ON,239
2019-05-28,NYFED,SOFR,ON,241
2019-05-28,UST,DGS2,2Y,212
2019-05-28,UST,DGS5,5Y,206
2019-05-29,NYFED,EFFR,ON,239
2019-05-29,NYFED,SOFR,ON,240
2019-05-29,UST,DGS2,2Y,209
2019-05-29,UST,DGS5,5Y,205
2019-05-30,NYFED,EFFR,ON,239
2019-05-30,NYFED,SOFR,ON,240
2019-05-30,UST,DGS2,2Y,206
2019-05-30,UST,DGS5,5Y,203
2019-05-31,NYFED,EFFR,ON,240
2019-05-31,NYFED,SOFR,ON,249
2019-05-31,UST,DGS2,2Y,195
2019-05-31,UST,DGS5,5Y,193
2019-06-03,NYFED,EFFR,ON,238
2019-06-03,NYFED,SOFR,ON,240
2019-06-03,UST,DGS2,2Y,182
2019-06-03,UST,DGS5,5Y,183
2019-06-04,NYFED,EFFR,ON,238
2019-06-04,NYFED,SOFR,ON,239
2019-06-04,UST,DGS2,2Y,188
2019-06-04,UST,DGS5,5Y,189
2019-06-05,NYFED,EFFR,ON,238
2019-06-05,NYFED,SOFR,ON,240
2019-06-05,UST,DGS2,2Y,183
2019-06-05,UST,DGS5,5Y,186
2019-06-06,NYFED,EFFR,ON,237
2019-06-06,NYFED,SOFR,ON,240
2019-06-06,UST,DGS2,2Y,188
2019-06-06,UST,DGS5,5Y,188
2019-06-07,NYFED,EFFR,ON,237
2019-06-07,NYFED,SOFR,ON,239
2019-06-07,UST,DGS2,2Y,185
2019-06-07,UST,DGS5,5Y,185
2019-06-10,NYFED,EFFR,ON,237
2019-06-10,NYFED,SOFR,ON,239
2019-06-10,UST,DGS2,2Y,190
2019-06-10,UST,DGS5,5Y,191
2019-06-11,NYFED,EFFR,ON,237
2019-06-11,NYFED,SOFR,ON,238
2019-06-11,UST,DGS2,2Y,193
2019-06-11,UST,DGS5,5Y,192
2019-06-12,NYFED,EFFR,ON,237
2019-06-12,NYFED,SOFR,ON,237
2019-06-12,UST,DGS2,2Y,188
2019-06-12,UST,DGS5,5Y,188
2019-06-13,NYFED,EFFR,ON,237
2019-06-13,NYFED,SOFR,ON,235
2019-06-13,UST,DGS2,2Y,183
2019-06-13,UST,DGS5,5Y,184
2019-06-14,NYFED,EFFR,ON,236
2019-06-14,NYFED,SOFR,ON,235
2019-06-14,UST,DGS2,2Y,184
2019-06-14,UST,DGS5,5Y,185
2019-06-17,NYFED,EFFR,ON,238
2019-06-17,NYFED,SOFR,ON,241
2019-06-17,UST,DGS2,2Y,186
2019-06-17,UST,DGS5,5Y,185
2019-06-18,NYFED,EFFR,ON,237
2019-06-18,NYFED,SOFR,ON,239
2019-06-18,UST,DGS2,2Y,186
2019-06-18,UST,DGS5,5Y,183
2019-06-19,NYFED,EFFR,ON,237
2019-06-19,NYFED,SOFR,ON,236
2019-06-19,UST,DGS2,2Y,174
2019-06-19,UST,DGS5,5Y,177
2019-06-20,NYFED,EFFR,ON,237
